keyword,search_volume,cpc,competition,competition_level,keyword_difficulty,main_intent
blockchain stocks,1000,5.57,0.05,LOW,30,commercial
rwa tokens,880,11.28,0.26,LOW,40,informational
synthetic stocks,720,,0,LOW,0,informational
tokenized securities,390,13.32,0.29,LOW,5,informational
stock tokens,260,5,0.12,LOW,23,informational
what is tokenized stock,260,1.47,0.06,LOW,23,informational
real world assets crypto,210,,0.04,LOW,32,informational
equity tokens,70,,0.11,LOW,0,informational
buy stocks with crypto,40,32.89,0.36,MEDIUM,16,transactional
how to buy tokenized stocks,40,17.13,0.29,LOW,38,informational
best tokenized stocks,30,,0.01,LOW,,commercial
decentralized stock trading,10,,0.86,HIGH,53,informational
on-chain stocks,10,,0.05,LOW,,commercial
tokenized stocks explained,10,,0,LOW,60,informational
