keyword,in_gsc,2840/en_volume_labs,2840/en_volume_ads,2840/en_kd,2840/en_cpc,2840/en_competition,2840/en_intent,FR_volume_labs,FR_volume_ads,FR_kd,FR_cpc,FR_competition,FR_intent,worldwide_volume_ads
astrologie chat,yes,,480,,6.68,LOW,,70,70,,5.24,LOW,informational,4400
zodiac chat,yes,,27100,,0.32,LOW,,,260,,2.94,LOW,,49500
zodiac ai,yes,90,90,4,2.68,LOW,informational,,30,,,LOW,,480
zodiac com,yes,,210,,0.56,LOW,,,30,,1.68,HIGH,,590
ai zodiac,yes,20,20,4,,LOW,informational,,10,,,,,70
zodiac ai generator,yes,10,10,,4.6,LOW,informational,,10,,,,,30
tchat horoscope,yes,,0,,,,,,70,,0.22,LOW,,90
my zodiac ai official website,yes,,,,,,,,,,,,,
zodiacap7,yes,,20,,,LOW,,,10,,,,,40
fake horoscope maker,yes,10,10,48,,LOW,informational,,10,,,LOW,,20
chat horoscope,yes,,20,,,LOW,,40,40,0,1.63,LOW,informational,170
horoscope chat,yes,20,20,94,,LOW,informational,40,40,0,1.63,LOW,informational,170
zodiac chats,yes,27100,27100,66,0.62,LOW,informational,,260,,2.94,LOW,,49500
zodiac talk,yes,30,30,27,,LOW,informational,,10,,,,,90
zodiac28,yes,,10,,,,,,,,,,,70
zodiask,yes,,10,,,LOW,,,10,,,LOW,,1300
zodiac chatbot,no,,,,,,,,,,,,,
zodiac ai chat,no,,,,,,,,,,,,,
ai zodiac chat,no,,,,,,,,,,,,,
zodiac gpt,no,,10,,,LOW,,,10,,,,,20
zodiac sign ai,no,20,20,0,,LOW,informational,,10,,,,,70
ai zodiac generator,no,,,,,,,,,,,,,
zodiac ai art,no,10,10,,,LOW,informational,,0,,,,,10
zodiac ai image generator,no,,,,,,,,,,,,,
my zodiac ai,no,,10,,,LOW,,,10,,12.04,LOW,,110
zodiac.com,no,,210,,0.56,LOW,,,30,,1.68,HIGH,,590
zodiacs,no,246000,246000,47,0.42,LOW,informational,33100,33100,38,0.36,LOW,informational,1000000
fake horoscope,no,90,90,4,,LOW,informational,,10,,,,,210
horoscope maker,no,30,30,63,0.33,LOW,informational,,10,,,LOW,,390
horoscope generator,no,390,390,44,0.84,LOW,informational,10,10,20,0.62,LOW,informational,9900
ai horoscope generator,no,10,10,0,2.3,LOW,informational,0,0,,,,informational,40
horoscope generator ai,no,,,,,,,,,,,,,
astrology chat,no,480,480,51,5.74,LOW,informational,70,70,,5.24,LOW,informational,4400
astrology chatbot,no,20,20,3,3.5,LOW,informational,10,10,,,,informational,140
ai astrology chat,no,50,50,3,3.12,LOW,informational,10,10,,,LOW,informational,6600
chat with astrology ai,no,,,,,,,,,,,,,
talk to zodiac,no,,,,,,,,,,,,,
zodiac sign chat,no,20,20,22,0.02,LOW,informational,,10,,,,,70
chat astrologie,no,,0,,,,,,10,,3.8,LOW,,20
astrologie ia,no,,10,,,,,20,20,58,1.39,LOW,informational,30
horoscope ia,no,,10,,,LOW,,,10,,,LOW,,20
tchat astrologie,no,,,,,,,,10,,,MEDIUM,,10
chat horoscope gratuit,no,,,,,,,,,,,,,
astrologue en ligne gratuit,no,,10,,,,,20,20,52,2.78,MEDIUM,informational,30
