query,page,clicks,impressions,ctr,position
astrologie chat,https://zodiac-chat.com/,0,11,0,22.91
zodiac chat,https://zodiac-chat.com/,2,9,0.222222,5.11
zodiac ai,https://zodiac-chat.com/,0,7,0,31.71
zodiac com,https://zodiac-chat.com/,0,7,0,53.43
ai zodiac,https://zodiac-chat.com/,0,5,0,43.8
zodiac ai generator,https://zodiac-chat.com/,1,4,0.25,26
tchat horoscope,https://zodiac-chat.com/,0,3,0,37
my zodiac ai official website,https://zodiac-chat.com/,0,2,0,9.5
zodiacap7,https://zodiac-chat.com/,0,2,0,11
fake horoscope maker,https://zodiac-chat.com/,1,1,1,7
chat horoscope,https://zodiac-chat.com/,0,1,0,51
horoscope chat,https://zodiac-chat.com/,0,1,0,50
zodiac chats,https://zodiac-chat.com/,0,1,0,10
zodiac talk,https://zodiac-chat.com/,0,1,0,42
zodiac28,https://zodiac-chat.com/,0,1,0,27
zodiask,https://zodiac-chat.com/,0,1,0,40
