keyword,source,volume_clickstream,volume_google_ads,keyword_difficulty,cpc,competition,intent
zodiac signs,seed,673000,673000,38,0.17,LOW,informational
horoscope today,seed,368000,368000,75,0.5,LOW,informational
daily horoscope,seed,301000,246000,71,0.6,LOW,informational
zodiac signs dates,seed,246000,246000,37,0.24,LOW,informational
birth chart,seed,246000,246000,65,0.73,LOW,informational
zodiac sign dates,seed,246000,246000,48,0.24,LOW,informational
astro seek,seed,201000,201000,11,1.87,LOW,informational
natal chart calculator,seed,165000,165000,59,0.49,LOW,informational
birth chart calculator,seed,165000,165000,59,0.49,LOW,informational
cafe astrology,seed,110000,110000,10,1.1,LOW,informational
natal chart,seed,74000,90500,60,0.78,LOW,informational
free daily horoscope,seed,40500,40500,76,0.49,LOW,informational
moon sign calculator,seed,27100,33100,29,0.52,LOW,informational
zodiac chat,seed,,27100,,0.32,LOW,
rising sign calculator,seed,27100,27100,30,0.19,LOW,informational
weekly horoscope,seed,27100,27100,32,0.23,LOW,informational
natal chart compatibility,seed,22200,22200,19,2,LOW,informational
astrology.com,seed,,22200,,8.29,LOW,
birth chart compatibility,seed,22200,22200,24,2,LOW,informational
zodiac signs compatibility,seed,22200,22200,35,0.37,LOW,informational
co star astrology,seed,14800,18100,45,1.67,LOW,informational
zodiac personality,seed,18100,18100,41,0.85,LOW,informational
synastry chart,seed,18100,18100,18,2.69,LOW,informational
zodiac compatibility,seed,18100,18100,36,1.09,LOW,informational
what is my zodiac sign,seed,14800,14800,58,0.51,LOW,informational
zodiac signs meaning,seed,12100,12100,39,1.06,LOW,informational
monthly horoscope,seed,12100,12100,27,0.49,LOW,informational
astrology app,seed,12100,12100,61,5.52,LOW,informational
astrology compatibility,seed,9900,9900,25,1.71,LOW,informational
zodiac compatibility chart,seed,8100,8100,31,0.57,LOW,informational
astrotalk,seed,8100,8100,27,6.7,MEDIUM,informational
horoscope compatibility,seed,4400,4400,26,0.74,LOW,informational
zodiac sign traits,seed,4400,4400,23,0.26,LOW,informational
zodiac sign compatibility test,seed,3600,3600,33,1.44,LOW,informational
zodiac traits,seed,3600,3600,24,1.04,LOW,informational
astrology reading,seed,2900,3600,51,6.82,MEDIUM,informational
co-star app,seed,2900,2900,37,4.15,LOW,navigational
synastry calculator,seed,2400,2900,18,2.55,LOW,informational
horoscope app,seed,2400,2400,61,2.09,LOW,informational
zodiac sign personality traits,seed,1900,1900,25,1.78,LOW,informational
best astrology app,seed,1900,1900,2,6.97,LOW,informational
love compatibility zodiac,seed,1600,1600,33,1.08,LOW,informational
free astrology reading,seed,1600,1600,59,3.56,MEDIUM,informational
zodiac love compatibility,seed,22200,1600,36,1.08,LOW,informational
the pattern app,seed,1600,1600,14,3.37,LOW,navigational
ask an astrologer,seed,1300,1300,45,6.13,LOW,informational
chani app,seed,1300,1300,26,2.77,LOW,navigational
big three astrology,seed,1000,1000,4,0.32,LOW,informational
free birth chart reading,seed,1000,1000,66,1.4,LOW,informational
ai astrologer,seed,1000,1000,17,4.01,LOW,informational
ai astrology,seed,1000,1000,22,4.01,LOW,informational
nebula horoscope,seed,880,880,26,6,LOW,informational
astrology chat,seed,480,480,51,6.68,LOW,informational
free astrology chat,seed,480,480,41,3.6,MEDIUM,informational
sanctuary astrology,seed,210,210,27,6.98,LOW,informational
ai horoscope,seed,210,210,3,2.63,LOW,informational
online astrologer free chat,seed,170,170,24,4.35,MEDIUM,informational
free astrology chat online,seed,170,170,24,4.35,MEDIUM,informational
talk to an astrologer,seed,70,70,69,26.14,MEDIUM,informational
